Date,Open,High,Low,Close,Volume
2018-01-02,32.09,32.93,32.09,32.93,9178100.0
2018-01-03,33.1,33.42,32.82,33.35,8180700.0
2018-01-04,33.52,33.96,33.45,33.67,9625200.0
2018-01-05,33.7,33.9,33.29,33.67,5267800.0
2018-01-08,33.64,33.75,33.34,33.75,5130600.0
2018-01-09,33.59,33.8,33.38,33.43,5822500.0
2018-01-10,33.2,33.59,32.82,33.29,5070000.0
2018-01-11,33.43,34.22,33.35,34.05,9684400.0
2018-01-12,33.67,34.16,33.62,34.13,7650400.0
2018-01-15,34.13,34.45,34.13,34.3,5244600.0
2018-01-16,34.47,34.69,34.33,34.6,6219300.0
2018-01-17,34.61,35.57,34.46,35.42,12134800.0
2018-01-18,35.58,35.58,34.73,35.18,9429400.0
2018-01-19,35.31,35.8,34.95,34.95,8142700.0
2018-01-22,35.0,35.2,34.52,35.07,6341000.0
2018-01-23,34.97,35.49,34.7,35.2,17731400.0
2018-01-24,35.5,37.99,35.44,37.99,27722100.0
2018-01-26,38.4,39.5,38.15,39.17,24260100.0
2018-01-29,38.91,39.2,38.51,38.95,13322200.0
2018-01-30,38.47,38.95,38.3,38.8,10832100.0
2018-01-31,39.4,40.1,39.4,39.68,12752900.0
2018-02-01,39.43,40.05,39.38,39.79,10992500.0
2018-02-02,39.3,39.59,39.05,39.25,8409600.0
2018-02-05,38.8,39.41,38.03,38.08,6043400.0
2018-02-06,37.65,40.08,37.31,39.75,13040200.0
2018-02-07,39.73,40.61,39.49,39.79,13992300.0
2018-02-08,40.01,40.22,38.54,38.54,12651200.0
2018-02-09,38.66,38.79,37.26,37.82,10066800.0
2018-02-14,38.05,39.74,38.05,39.56,10787900.0
2018-02-15,40.0,40.2,39.6,39.9,11229500.0
2018-02-16,40.13,40.31,39.7,40.3,6577100.0
2018-02-19,40.2,40.56,39.18,39.63,4608900.0
2018-02-20,39.25,40.93,39.13,40.8,8990400.0
2018-02-21,40.7,41.44,40.7,41.12,11831700.0
2018-02-22,43.13,43.28,42.14,42.4,17075800.0
2018-02-23,42.5,42.69,41.95,42.4,8615600.0
2018-02-26,42.52,43.11,42.52,43.02,6994200.0
2018-02-27,42.85,43.1,42.3,42.6,5957000.0
2018-02-28,42.3,42.88,41.52,41.8,7773500.0
2018-03-01,41.78,42.25,41.6,42.1,7234200.0
2018-03-02,41.56,42.41,41.2,42.2,5683600.0
2018-03-05,42.25,42.88,41.92,42.55,6035900.0
2018-03-06,42.8,43.96,42.8,43.49,14942600.0
2018-03-07,43.1,43.6,42.61,43.19,7905300.0
2018-03-08,44.0,44.3,42.88,43.42,8983800.0
2018-03-09,43.51,44.05,43.09,43.71,9173400.0
2018-03-12,43.71,43.71,43.0,43.48,8734600.0
2018-03-13,43.48,43.57,42.69,42.85,8468600.0
2018-03-14,42.99,43.08,42.01,42.48,14923400.0
2018-03-15,42.19,42.43,41.69,42.39,8744700.0
2018-03-16,42.5,42.82,42.09,42.4,23426600.0
2018-03-19,42.2,42.33,41.33,41.4,10439000.0
2018-03-20,41.69,41.82,41.07,41.56,5975000.0
2018-03-21,41.52,42.3,41.28,42.25,12071400.0
2018-03-22,41.89,42.53,41.14,41.49,7847100.0
2018-03-23,41.12,41.9,40.76,41.2,8919200.0
2018-03-26,41.79,41.9,41.18,41.48,4081800.0
2018-03-27,41.71,41.75,40.05,40.45,11304300.0
2018-03-28,40.1,40.57,39.73,40.32,7943300.0
2018-03-29,40.61,41.5,40.45,41.03,7504700.0
2018-04-02,40.25,40.25,40.25,40.25,7692700.0
2018-04-03,40.37,40.75,39.59,39.72,6417300.0
2018-04-04,38.81,40.05,38.72,40.05,7648700.0
2018-04-05,41.74,41.75,40.88,41.22,11963600.0
2018-04-06,41.02,41.02,40.02,40.68,7735300.0
2018-04-09,40.68,40.91,38.74,39.2,8322200.0
2018-04-10,39.83,39.83,38.21,38.73,12980800.0
2018-04-11,38.4,39.45,38.4,39.05,5601700.0
2018-04-12,39.12,39.45,38.9,38.95,5842000.0
