Date,Open,High,Low,Close,Volume
2018-01-02,40.44,41.74,40.44,41.72,14156500.0
2018-01-03,41.83,41.88,41.3,41.47,12744200.0
2018-01-04,41.81,42.37,41.52,41.64,18433000.0
2018-01-05,41.57,42.29,41.31,42.29,15251300.0
2018-01-08,42.4,43.23,42.4,43.23,14542800.0
2018-01-09,43.58,43.75,42.93,43.07,15986200.0
2018-01-10,42.74,42.95,42.42,42.47,12149500.0
2018-01-11,42.6,43.3,42.6,43.3,10236300.0
2018-01-12,42.95,43.66,42.75,43.55,15014300.0
2018-01-15,43.5,43.72,43.27,43.47,7253400.0
2018-01-16,42.98,43.14,42.3,42.3,20121900.0
2018-01-17,42.4,43.22,42.36,43.15,16490700.0
2018-01-18,43.5,43.61,42.68,42.86,10772100.0
2018-01-19,43.2,43.4,42.6,42.88,11173100.0
2018-01-22,43.1,43.16,42.22,42.65,11580900.0
2018-01-23,41.99,42.11,40.81,40.93,22075600.0
2018-01-24,41.21,42.13,41.14,41.78,22096600.0
2018-01-25,41.78,41.78,41.78,41.78,0.0
2018-01-26,41.85,41.88,40.71,41.43,19259500.0
2018-01-29,41.1,42.24,41.04,41.89,16752900.0
2018-01-30,41.7,41.96,41.23,41.47,13180300.0
2018-01-31,41.75,42.68,41.45,41.45,22859700.0
2018-02-01,41.6,42.47,41.57,41.79,21949700.0
2018-02-02,41.65,41.65,40.75,40.8,17892300.0
2018-02-05,40.6,42.04,40.33,40.35,22452800.0
2018-02-06,40.01,42.47,39.93,42.47,26037000.0
2018-02-07,42.43,42.72,41.7,41.71,20560700.0
2018-02-08,41.69,42.13,41.07,41.59,18928800.0
2018-02-09,41.4,42.4,41.03,42.0,22760500.0
2018-02-14,43.4,44.55,43.26,44.51,25905800.0
2018-02-15,45.01,45.96,44.95,45.95,31043100.0
2018-02-16,45.82,46.19,45.47,46.03,21107300.0
2018-02-19,46.1,46.8,45.96,46.45,12756100.0
2018-02-20,46.05,46.45,45.24,45.51,18417600.0
2018-02-21,45.51,45.96,44.71,44.8,24312600.0
2018-02-22,45.23,45.68,45.12,45.67,14081800.0
2018-02-23,46.0,46.41,45.65,46.08,17489800.0
2018-02-26,46.74,47.4,46.69,47.4,20374600.0
2018-02-27,47.47,47.6,46.71,47.33,15063400.0
2018-02-28,46.99,47.09,44.65,45.05,39459100.0
2018-03-01,45.21,45.63,43.97,44.45,25776000.0
2018-03-02,43.8,43.88,42.74,43.75,25236200.0
2018-03-05,43.48,43.94,42.88,43.7,16100600.0
2018-03-06,44.5,44.92,43.42,43.49,22342000.0
2018-03-07,42.51,43.02,42.2,42.85,19334700.0
2018-03-08,42.68,42.79,41.25,41.46,19983100.0
2018-03-09,40.97,42.27,40.51,42.1,21077800.0
2018-03-12,42.29,42.63,41.94,42.46,11838200.0
2018-03-13,42.74,42.8,42.05,42.13,13838900.0
2018-03-14,42.85,43.34,42.57,42.6,17936000.0
2018-03-15,42.7,42.82,42.13,42.4,16039100.0
2018-03-16,42.4,42.6,42.05,42.3,26802000.0
2018-03-19,41.52,41.52,40.67,41.1,21861500.0
2018-03-20,41.1,41.92,40.93,41.6,9322500.0
2018-03-21,41.75,42.69,41.43,42.5,19798000.0
2018-03-22,41.94,42.25,41.62,41.93,15229500.0
2018-03-23,41.24,42.2,41.01,41.6,14983200.0
2018-03-26,42.0,42.38,41.61,42.0,9850900.0
2018-03-27,42.39,42.39,40.72,40.86,11659800.0
2018-03-28,40.61,41.7,40.06,41.54,19038400.0
2018-03-29,41.87,42.75,41.74,42.21,20347700.0
2018-04-02,42.32,43.47,42.32,43.0,18944000.0
2018-04-03,43.4,43.55,42.44,42.87,13693900.0
2018-04-04,41.8,42.6,41.59,42.55,12440000.0
2018-04-05,43.31,43.69,43.03,43.25,14686600.0
2018-04-06,42.91,43.1,42.25,42.74,11282700.0
2018-04-09,43.07,43.23,42.21,42.95,11918100.0
2018-04-10,43.8,44.84,43.67,44.84,22479700.0
2018-04-11,44.56,45.06,44.22,44.64,17709600.0
2018-04-12,44.42,44.86,44.32,44.81,9812400.0
2018-04-13,44.85,45.17,44.6,44.98,15483300.0
2018-04-16,44.61,44.85,44.31,44.54,11434200.0
2018-04-17,44.6,46.0,44.56,45.93,13348000.0
2018-04-18,47.0,48.08,46.85,47.48,27655600.0
2018-04-19,47.78,48.17,47.4,47.83,16092700.0
2018-04-20,47.76,47.9,47.33,47.63,10188600.0
2018-04-23,47.22,47.98,47.06,47.5,11785300.0
2018-04-24,47.7,48.59,47.7,48.31,15113400.0
2018-04-25,47.75,48.49,47.44,47.95,15525500.0
2018-04-26,47.7,49.0,47.62,48.7,13273500.0
2018-04-27,48.9,49.15,47.86,48.35,14624200.0
2018-04-30,48.26,48.83,48.15,48.67,8464400.0
2018-05-02,48.5,49.32,48.42,48.71,16526500.0
2018-05-03,48.81,49.33,48.58,49.09,14025900.0
2018-05-04,48.92,49.9,48.92,49.7,14861100.0
2018-05-07,49.72,50.04,49.11,49.24,15433900.0
2018-05-08,49.25,49.68,48.91,49.19,22420400.0
2018-05-09,49.42,50.42,49.33,50.25,16776100.0
2018-05-10,50.41,51.4,50.38,51.4,14314200.0
2018-05-11,51.77,53.58,51.75,52.63,21432500.0
2018-05-14,53.08,54.4,53.0,54.27,15847800.0
2018-05-15,53.81,54.65,53.18,54.65,15954500.0
2018-05-16,55.33,56.0,55.14,55.9,20944200.0
2018-05-17,55.3,55.8,54.75,55.38,20241200.0
2018-05-18,54.7,55.5,53.45,54.77,22361100.0
2018-05-21,55.01,55.1,53.0,53.0,22608800.0
2018-05-22,52.87,53.06,51.87,52.34,20491700.0
2018-05-23,51.8,52.24,51.25,51.94,15703000.0
2018-05-24,51.32,53.0,51.26,52.46,14500200.0
2018-05-25,52.58,52.79,51.05,51.48,13141500.0
2018-05-28,50.9,52.46,50.71,51.07,13832600.0
2018-05-29,51.97,52.06,49.99,50.16,18697800.0
2018-05-30,50.21,51.35,49.7,50.63,25861400.0
2018-06-01,50.9,53.08,50.65,52.76,20424100.0
2018-06-04,53.18,53.45,51.76,52.52,13964100.0
2018-06-05,52.5,54.0,52.5,53.73,16988600.0
2018-06-06,54.5,56.23,54.49,56.07,26835500.0
2018-06-07,56.46,56.75,53.07,54.37,32389900.0
2018-06-08,53.99,53.99,50.66,50.89,30421100.0
2018-06-11,51.37,52.0,50.59,50.85,14362000.0
2018-06-12,50.5,52.36,50.16,51.7,18403200.0
2018-06-13,51.98,52.24,50.73,51.55,15599000.0
2018-06-14,51.87,51.89,50.75,51.71,18827200.0
2018-06-15,51.4,51.44,48.7,49.13,36611400.0
2018-06-18,48.62,49.29,47.86,49.21,20490400.0
2018-06-19,47.7,48.75,47.03,48.3,26764800.0
2018-06-20,49.05,49.08,48.07,48.81,14448400.0
2018-06-21,48.51,49.2,47.04,47.21,13952800.0
2018-06-22,48.15,48.47,47.48,48.01,9632500.0
2018-06-25,47.7,47.8,46.26,47.16,13800400.0
2018-06-26,47.5,48.34,46.63,48.34,15460100.0
2018-06-27,48.48,49.28,47.9,48.15,14471100.0
2018-06-28,47.85,49.44,47.5,49.07,16298400.0
2018-06-29,49.7,50.1,49.05,49.59,12248000.0
2018-07-02,48.89,49.19,48.52,48.76,8222800.0
2018-07-03,49.3,49.49,47.96,47.96,11486600.0
2018-07-04,48.17,48.37,47.6,48.03,6147000.0
2018-07-05,48.55,49.77,48.31,49.7,12179600.0
2018-07-06,49.79,50.44,49.39,50.34,8582200.0
2018-07-10,50.7,51.1,49.35,49.53,10935700.0
2018-07-11,48.5,49.1,48.45,48.86,12912600.0
2018-07-12,49.35,50.67,48.96,50.45,20765500.0
2018-07-13,50.6,50.89,49.93,50.31,15555400.0
2018-07-16,50.31,50.6,49.6,50.0,12550000.0
2018-07-17,50.13,51.02,49.7,50.7,11553600.0
2018-07-18,51.15,51.67,50.82,51.45,9762900.0
2018-07-19,50.71,50.75,49.06,49.43,20977000.0
2018-07-20,49.59,49.86,48.63,48.72,16788900.0
2018-07-23,49.08,50.13,48.53,49.6,8554600.0
2018-07-24,51.92,52.39,51.31,51.31,20910300.0
2018-07-25,51.46,51.75,50.74,51.75,15263700.0
2018-07-26,52.47,53.18,52.4,52.78,54299500.0
2018-07-27,53.48,53.67,53.25,53.45,21543400.0
2018-07-30,53.7,54.35,53.56,54.33,15527200.0
2018-07-31,54.2,54.98,54.05,54.84,15921000.0
2018-08-01,53.4,53.77,53.02,53.06,36906000.0
2018-08-02,52.09,53.09,51.5,52.84,19796400.0
2018-08-03,52.31,52.94,51.33,52.55,15607700.0
2018-08-06,52.1,52.91,52.0,52.4,11904900.0
2018-08-07,53.39,53.65,52.63,52.75,19065600.0
2018-08-08,53.3,53.33,52.26,52.4,13076000.0
2018-08-09,52.5,53.04,51.73,51.84,12752800.0
2018-08-10,51.41,51.91,50.72,51.71,14630800.0
2018-08-13,52.07,52.69,51.74,52.28,14720600.0
2018-08-14,52.1,52.91,51.77,52.76,17475600.0
2018-08-15,51.6,51.98,50.35,50.41,26625700.0
2018-08-16,50.9,51.03,49.63,49.72,20125600.0
2018-08-17,49.53,51.19,49.23,50.8,17343200.0
2018-08-20,51.1,51.77,51.04,51.44,14783600.0
2018-08-21,51.16,52.1,51.02,51.73,13378300.0
2018-08-22,51.65,53.3,51.63,53.3,13073500.0
2018-08-23,53.1,53.52,52.65,53.35,12263000.0
2018-08-24,53.6,54.46,53.55,54.15,10971100.0
2018-08-27,54.17,55.67,54.17,55.67,11205300.0
2018-08-28,55.93,56.41,55.07,55.65,17875600.0
2018-08-29,55.25,56.16,55.14,55.22,10292800.0
2018-08-30,55.3,55.89,54.4,54.57,14432500.0
2018-08-31,54.52,54.8,53.31,53.62,15000000.0
2018-09-03,53.3,54.17,53.21,54.05,4356600.0
2018-09-04,53.6,53.79,52.0,52.0,10521800.0
2018-09-05,52.08,52.64,51.75,52.15,7100000.0
2018-09-06,52.79,53.87,52.4,53.48,12479400.0
2018-09-10,53.91,54.04,52.96,53.22,9341300.0
2018-09-11,52.61,52.99,52.13,52.59,10347800.0
2018-09-12,53.0,53.71,52.18,53.45,14230800.0
2018-09-13,53.7,54.43,53.52,53.78,14353500.0
2018-09-14,54.1,55.23,54.05,55.2,17021500.0
2018-09-17,55.3,55.57,54.79,55.04,12096900.0
2018-09-18,55.63,57.47,55.51,57.34,20647900.0
2018-09-19,57.61,58.94,57.53,58.58,12451900.0
2018-09-20,59.21,59.61,58.43,59.32,11264600.0
2018-09-21,59.89,61.01,59.6,61.01,23057600.0
2018-09-24,60.85,61.25,60.15,60.2,9008600.0
2018-09-25,60.0,62.22,59.86,62.2,16840000.0
2018-09-26,62.2,62.42,59.75,60.01,24600600.0
2018-09-27,60.22,60.75,58.61,59.48,20631400.0
2018-09-28,58.85,60.29,58.85,59.82,14753000.0
2018-10-01,59.68,60.57,59.08,60.4,8976500.0
2018-10-02,60.87,61.74,60.48,61.2,20530200.0
2018-10-03,62.01,62.19,59.32,59.95,26674700.0
2018-10-04,59.99,60.34,58.67,58.8,14396500.0
2018-10-05,57.85,58.31,57.23,57.49,20202600.0
2018-10-08,57.0,57.57,55.26,57.05,26384200.0
2018-10-09,57.4,58.32,56.72,57.7,17830500.0
2018-10-10,57.38,58.14,55.89,55.89,14135900.0
2018-10-11,56.44,57.16,55.62,56.48,15976400.0
2018-10-15,56.95,58.45,56.84,57.67,16290900.0
2018-10-16,57.94,58.85,57.25,57.7,15825800.0
2018-10-17,58.34,58.92,57.75,58.8,21832000.0
2018-10-18,58.85,58.85,56.32,56.5,17237800.0
2018-10-19,57.1,57.53,56.36,56.53,13429700.0
2018-10-22,57.7,58.42,57.03,58.37,14084400.0
2018-10-23,57.31,57.55,56.0,56.75,20763100.0
2018-10-24,57.4,57.59,54.43,54.43,17954800.0
2018-10-25,55.97,56.04,53.8,54.61,29494700.0
2018-10-26,54.9,55.89,53.51,55.6,26630300.0
2018-10-29,54.03,54.39,52.6,53.1,26198300.0
2018-10-30,53.6,54.85,52.96,53.87,23799200.0
2018-10-31,54.35,56.71,54.27,56.71,26626000.0
2018-11-01,56.75,58.26,55.52,57.5,20420000.0
2018-11-05,57.61,58.0,57.04,57.53,15491800.0
2018-11-06,57.0,57.85,56.56,57.23,11211000.0
2018-11-07,57.79,58.15,57.4,57.59,12982500.0
2018-11-08,57.78,58.77,57.02,57.02,16743700.0
2018-11-09,56.5,57.0,54.13,54.65,29209700.0
2018-11-12,55.1,55.45,54.4,54.85,15985200.0
2018-11-13,54.9,56.27,54.35,56.27,18790200.0
2018-11-14,55.21,55.67,54.25,55.16,28360900.0
2018-11-16,55.85,56.35,55.15,56.15,19633700.0
2018-11-19,56.15,56.28,54.81,55.37,12979700.0
2018-11-21,54.15,54.55,53.71,54.53,18590600.0
2018-11-22,54.69,54.72,53.75,54.04,9255400.0
2018-11-23,53.39,53.39,50.35,50.35,33531500.0
2018-11-26,49.95,51.09,49.0,50.12,30327300.0
2018-11-27,49.69,50.49,49.1,49.92,25582700.0
2018-11-28,50.5,52.32,50.22,52.3,29038300.0
2018-11-29,51.92,52.73,51.13,52.0,23362000.0
2018-11-30,51.56,53.69,51.56,52.8,29502000.0
2018-12-03,55.6,55.68,53.74,54.11,32418200.0
2018-12-04,54.35,54.52,52.5,52.88,26844200.0
2018-12-05,53.3,53.48,52.43,52.8,9656100.0
2018-12-06,51.7,52.6,51.07,52.3,21376400.0
2018-12-07,52.48,53.26,51.09,51.29,19472100.0
2018-12-10,51.12,51.64,50.19,50.2,14331300.0
2018-12-11,51.15,51.74,50.25,50.6,19443900.0
2018-12-12,51.15,51.4,50.35,50.37,15808900.0
2018-12-13,50.85,51.28,50.25,50.6,15149000.0
2018-12-14,50.38,51.19,49.85,50.88,16910700.0
2018-12-17,51.9,52.27,51.03,51.25,21401300.0
2018-12-18,51.35,52.19,51.35,51.44,18988400.0
2018-12-19,51.8,52.4,50.01,50.01,24414200.0
2018-12-20,50.74,51.17,49.45,49.81,25323700.0
2018-12-21,50.28,51.25,50.22,50.86,28272600.0
2018-12-26,50.11,50.7,49.4,50.44,13356400.0
2018-12-27,50.1,50.39,49.28,49.5,14332000.0
2018-12-28,50.31,51.2,50.25,51.0,11914300.0
2019-01-02,50.01,51.37,49.79,51.09,17319600.0
2019-01-03,50.8,50.94,48.4,49.0,30120000.0
2019-01-04,49.82,52.45,49.82,52.19,43360100.0
2019-01-07,52.87,53.65,51.72,51.91,20998900.0
2019-01-08,52.2,52.8,51.62,52.41,19925600.0
2019-01-09,53.16,54.06,52.83,53.69,27695500.0
2019-01-10,53.23,53.29,52.27,53.1,18113600.0
2019-01-11,53.26,53.46,52.38,52.38,12360400.0
2019-01-14,51.98,52.7,51.43,52.6,14626300.0
2019-01-15,52.85,53.2,51.87,52.35,14480300.0
2019-01-16,52.4,52.82,52.2,52.65,15375100.0
2019-01-17,52.44,54.71,52.27,54.23,25525500.0
2019-01-18,54.95,55.6,54.25,54.76,25815900.0
2019-01-21,54.85,55.35,54.39,55.28,10676600.0
2019-01-22,54.48,55.08,54.35,55.08,17154300.0
2019-01-23,55.46,55.9,55.33,55.65,13470400.0
2019-01-24,55.8,56.2,55.5,56.15,14118200.0
2019-01-28,45.0,45.0,42.36,42.36,183534500.0
2019-01-29,43.27,44.69,42.6,42.74,68335900.0
2019-01-30,46.25,46.8,44.98,46.6,67892500.0
2019-01-31,46.99,47.44,45.5,45.5,39814600.0
2019-02-01,45.72,46.33,45.58,46.25,21286700.0
2019-02-04,46.0,46.1,44.05,44.68,35888900.0
2019-02-05,44.45,45.21,43.81,44.52,21992300.0
2019-02-06,44.0,44.4,42.46,42.46,29257400.0
2019-02-07,42.15,42.79,41.21,41.59,31403200.0
2019-02-08,40.64,43.59,40.51,43.16,48169600.0
2019-02-11,43.86,44.05,41.89,42.02,30697300.0
2019-02-12,42.5,44.33,42.05,44.3,36421200.0
2019-02-13,44.31,45.99,44.3,45.49,38153200.0
2019-02-14,45.39,45.94,45.05,45.66,24055400.0
2019-02-15,45.4,46.02,45.19,45.88,27877700.0
2019-02-18,45.79,46.15,44.9,45.25,18777400.0
2019-02-19,45.5,45.94,45.23,45.49,20523500.0
2019-02-20,45.9,46.08,44.94,45.8,25493000.0
2019-02-21,45.84,46.09,45.13,45.38,21401300.0
2019-02-22,45.7,47.06,45.57,46.99,17580700.0
2019-02-25,47.35,47.75,46.4,47.12,16801500.0
2019-02-26,46.79,47.29,46.6,47.2,10362900.0
2019-02-27,47.25,47.25,46.34,46.83,15004800.0
2019-02-28,46.58,47.1,46.1,47.1,17877800.0
2019-03-01,47.29,47.5,44.55,46.74,29872100.0
2019-03-06,47.43,48.05,47.19,48.05,15244200.0
2019-03-07,47.83,48.96,47.72,48.86,21112500.0
2019-03-08,48.26,48.89,47.65,48.85,25446000.0
2019-03-11,48.9,49.95,48.61,49.88,20201600.0
2019-03-12,49.8,50.33,49.55,49.97,15591300.0
2019-03-13,49.94,51.0,49.7,50.7,21999200.0
2019-03-14,50.8,50.93,50.2,50.71,17257400.0
2019-03-15,50.8,51.24,50.4,50.55,26054400.0
2019-03-18,50.25,50.67,49.83,50.46,23021400.0
2019-03-19,50.7,52.39,50.59,51.9,32034400.0
2019-03-20,51.45,51.68,50.4,50.56,25667000.0
2019-03-21,50.53,51.47,50.51,50.89,19660000.0
2019-03-22,50.47,51.33,49.7,50.05,25714700.0
2019-03-25,49.6,50.31,49.16,49.55,15897500.0
2019-03-26,49.81,50.7,49.8,50.28,13413800.0
2019-03-27,50.05,50.74,49.31,49.6,20805100.0
2019-03-28,50.51,50.6,48.62,49.3,28490000.0
2019-03-29,49.95,51.6,49.95,50.93,25118100.0
2019-04-01,52.35,53.05,52.1,52.6,25392200.0
2019-04-02,53.05,53.3,51.63,51.63,21442400.0
2019-04-03,52.78,52.83,51.61,51.78,21477200.0
2019-04-04,52.0,52.46,51.62,52.16,14145700.0
2019-04-05,52.2,52.36,51.7,51.98,8359200.0
2019-04-08,52.5,53.39,52.36,53.39,14400900.0
2019-04-09,53.18,53.3,52.3,52.35,14745400.0
2019-04-10,52.74,52.74,51.52,51.76,15608000.0
2019-04-11,51.5,51.86,50.93,51.79,10274300.0
2019-04-12,52.09,52.72,51.31,51.48,16905900.0
2019-04-15,51.59,51.72,50.78,51.33,15787300.0
2019-04-16,51.27,53.16,50.84,53.1,18935600.0
2019-04-17,53.16,53.8,51.7,52.25,26483700.0
2019-04-18,52.2,52.97,52.01,52.58,10706000.0
2019-04-22,51.95,52.0,50.8,51.3,16324700.0
2019-04-23,51.59,51.92,51.28,51.92,9890800.0
2019-04-24,51.55,51.74,50.16,50.36,19992800.0
2019-04-25,50.23,50.43,49.38,50.33,15916200.0
2019-04-26,50.48,50.65,49.52,50.42,10632700.0
2019-04-29,50.94,51.06,50.12,50.25,8729200.0
2019-04-30,50.22,50.69,49.76,50.1,11371400.0
2019-05-02,49.28,49.28,48.72,48.94,15906200.0
2019-05-03,49.45,50.63,49.39,50.4,10614000.0
2019-05-06,49.6,49.75,49.09,49.66,10437300.0
2019-05-07,49.35,49.7,48.72,49.7,15190600.0
2019-05-08,49.82,50.14,48.94,49.0,18474900.0
2019-05-09,49.0,49.01,48.05,48.54,12456600.0
2019-05-10,48.3,49.8,48.06,49.46,25272300.0
2019-05-13,48.53,48.75,47.43,47.43,18657700.0
2019-05-14,48.18,48.35,47.35,47.59,14183900.0
2019-05-15,47.15,48.45,47.02,47.95,18447400.0
2019-05-16,48.55,48.93,45.82,46.4,49247900.0
2019-05-17,46.4,47.72,46.3,47.72,34079700.0
2019-05-20,47.62,47.74,46.63,46.75,23909600.0
2019-05-21,47.1,47.96,46.09,47.41,32381300.0
2019-05-22,47.78,48.69,47.37,47.46,21087400.0
2019-05-23,47.07,47.9,46.42,47.82,15786300.0
2019-05-24,48.64,49.43,48.31,48.31,24936500.0
2019-05-27,49.0,50.25,48.9,50.19,17281600.0
2019-05-28,49.95,50.95,49.85,50.25,37041000.0
2019-05-29,49.52,49.85,49.15,49.7,17842500.0
2019-05-30,49.71,50.13,49.44,50.01,12877800.0
2019-05-31,49.51,51.0,48.71,49.0,28857900.0
2019-06-03,49.35,49.6,48.44,48.83,22451600.0
2019-06-04,49.18,49.35,48.3,49.11,19537300.0
2019-06-05,49.28,49.43,47.86,48.39,14392200.0
2019-06-06,48.89,48.94,48.31,48.8,10869100.0
2019-06-07,49.05,49.1,48.36,48.66,11626500.0
2019-06-10,48.95,49.23,48.33,48.34,11670100.0
2019-06-11,49.76,51.48,49.66,51.43,44669000.0
2019-06-12,51.55,52.09,50.93,51.49,24531300.0
2019-06-13,51.9,52.25,51.59,51.85,18058600.0
2019-06-14,51.7,51.82,51.15,51.4,20375200.0
2019-06-17,51.0,51.33,50.2,50.2,20551200.0
2019-06-18,51.0,52.42,51.0,52.0,27229300.0
